drift_event_id,control_name,control_type,baseline_value,current_value,change_type,severity,operator_name,operator_email,approver_name,approver_email,change_date,change_reason,status,compliance_impact,is_approved_change,is_ci_cd_change,is_emergency_change,security_rule_score,rule_risk_level,recommended_remediation_commands,ml_risk_score,predicted_risk_level,ml_confidence,anomaly_score,anomaly_flag,anomaly_confidence,priority_score,priority_level,priority_reason,event_type,source,event_id,actor,approver,metadata
DRF00878,Control-78,Network_Segmentation,enabled=False,enabled=False,Rollback,High,Kenneth Wang,kenneth.wang@company.com,Sophia Huang,sophia.huang@company.com,2025-04-20 10:55:00,Performance Tuning,Mitigated,ISO,0,0,0,0,LOW,[],52.61,MEDIUM,59.75,0.0128,False,69.29,28.81,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00801,Control-68,Cloud_Security,enabled=False,enabled=True,Rollback,Info,Amara Mishra,amara.mishra@company.com,Larry Reddy,larry.reddy@company.com,2025-04-20 13:05:00,Policy Change,Under_Review,PCI,0,0,0,0,LOW,[],42.85,MEDIUM,60.47,0.0252,False,49.18,22.37,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00918,Control-94,Network_Segmentation,enabled=False,enabled=True,Rollback,Medium,Stephen Jo,stephen.jo@company.com,Paul Sharma,paul.sharma@company.com,2025-04-21 02:16:00,Performance Tuning,Under_Review,ISO,0,0,0,0,LOW,[],52.66,MEDIUM,62.67,-0.0061,True,100.0,42.0,MEDIUM,Unresolved medium-severity review floor applied,,,,,,
DRF00660,Control-63,Endpoint,enabled=False,enabled=True,Update,Critical,Sofia Sun,sofia.sun@company.com,James Kim,james.kim@company.com,2025-04-21 02:49:00,Policy Change,Drifted,NONE,0,0,0,0,LOW,[],63.47,HIGH,64.21,0.0164,False,63.54,78.0,HIGH,Critical unresolved drift floor applied,,,,,,
DRF00628,Control-40,Access_Control,enabled=True,enabled=True,Update,Low,Mark Weber,mark.weber@company.com,Paul Williams,paul.williams@company.com,2025-04-21 03:11:00,Security Update,Under_Review,GDPR,1,0,0,0,LOW,[],42.16,MEDIUM,67.56,0.0346,False,33.83,19.83,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00574,Control-44,DLP,enabled=False,enabled=True,Enable,High,Michael Sanchez,michael.sanchez@company.com,Charles Martin,charles.martin@company.com,2025-04-21 07:26:00,Emergency Fix,Drifted,NIST,0,0,1,0,LOW,[],64.81,HIGH,67.46,0.0245,False,50.3,30.23,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00550,Control-66,Logging,enabled=True,enabled=False,Modify,High,Stephen Huang,stephen.huang@company.com,Leila Anderson,leila.anderson@company.com,2025-04-21 08:39:00,Performance Tuning,Mitigated,NIST,0,0,0,0,LOW,[],51.81,MEDIUM,48.13,0.0328,False,36.82,23.66,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00572,Control-21,Endpoint,enabled=True,enabled=False,Update,Low,Richard Lewis,richard.lewis@company.com,Nadia Connor,nadia.connor@company.com,2025-04-21 11:38:00,Security Update,Drifted,PCI,1,0,0,0,LOW,[],44.61,MEDIUM,71.16,0.032,False,38.13,21.33,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00684,Control-82,Endpoint,enabled=True,enabled=False,Disable,Low,Meera Wagner,meera.wagner@company.com,Larry Williams,larry.williams@company.com,2025-04-21 20:29:00,Troubleshooting,Under_Review,GDPR,0,0,0,87,HIGH,['re-enable endpoint protection for the device and initiate a full malware scan'],65.55,HIGH,50.31,0.0029,False,85.4,79.25,HIGH,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00949,Control-78,Vulnerability,enabled=False,enabled=True,Update,Low,Amara Guo,amara.guo@company.com,Ronald Choi,ronald.choi@company.com,2025-04-23 00:21:00,Emergency Fix,Drifted,NONE,0,0,1,0,LOW,[],43.07,MEDIUM,63.99,0.0303,False,40.79,21.19,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
